code,old_title,reviewed_title,decision,source
2009_article_particle_physics,Particle physics,Particle Physics,corrected,manual verification
2009_article_microsoft_word_revista_i_encuentro_divulgacion_doc,Revista i encuentro divulgacion,Imagen médica mediante tomografía por emisión de positrones (PET),corrected,manual verification
2009_article_status_performance_and_first_results_of_the_icetop_array,"Status, performance, and first results of the icetop array","Status, performance, and first results of the IceTop array",corrected,DOI 10.1016/j.nuclphysbps.2009.09.028
2009_article_zenith_angle_response_of_a_vertical_meson_telescope,Zenith angle response of a vertical meson telescope,Zenith Angle Response of a Vertical Meson Telescope,corrected,manual verification
2009_book_solid_state_physics_an_introduction_to_principles_of_materia,Solid state physics an introduction to p,Solid State Physics: An Introduction to Principles of Materials Science,corrected,manual verification
2010_article_18_experimental_tests_of_gravitational_theory_225,18. Experimental tests of gravitational theory 225,Experimental Tests of Gravitational Theory,corrected,manual verification
2010_article_special_article_tools_for_experiment_and_theory,Commissioning of the ATLAS Muon Spectrometer With Cosmic Rays,Commissioning of the ATLAS Muon Spectrometer with cosmic rays,corrected,DOI 10.1140/epjc/s10052-010-1415-2
2010_article_measurement_of_angular_distribution_of_cosmic_ray_muon_fluen,Measurement of angular distribution of cosmic-ray muon fluence rate,Measurement of angular distribution of cosmic-ray muon fluence rate,verified,DOI 10.1016/j.nima.2009.12.017
2010_article_cosmic_ray_muons_in_the_deep_ocean,Particles AND fields,Cosmic-Ray Muons in the Deep Ocean,corrected,manual verification
2010_article_e_submission_file_reference_temp,"Precursors of the Forbush Decrease on December 14, 2006 Observed With the Global Muon Detector Network (GMDN)",Precursors of the Forbush Decrease on 2006 December 14 Observed with the Global Muon Detector Network (GMDN),corrected,manual verification
2010_article_simulation_studies_and_implementation_of_linsley_s_eas_time,Simulation studies and implementation of linsley's EAS time structure method for the primary cosmic ray spectrum,Simulation studies and implementation of Linsley's EAS time structure method for the primary cosmic ray spectrum,corrected,DOI 10.1016/j.nima.2009.12.080
2010_book_fundamentos_de_circuitos_electricos,Fundamentos de circuitos electricos,Fundamentos de circuitos eléctricos,corrected,manual verification
2010_book_introduction_to_quantum_mechanics,Introduction to quantum mechanics,Introduction to Quantum Mechanics,corrected,manual verification
2010_thesis_determination_of_the_angular_distribution_of_cosmic_rays_at,Determination of the angular distribution of,Determination of the Angular Distribution of Cosmic Rays at Sea Level,corrected,manual verification
2011_article_cascade_showers_and_mesotron_produced_secondaries_in_lead,Cascade Showers and Mesotron-Produced Secondaries in Lead,Cascade Showers and Mesotron-Produced Secondaries in Lead,verified,https://doi.org/10.1103/physrev.69.298
2011_article_experimental_test_of_parity_conservation_in_beta_decay,LETTERS TO TH e e d i TOR 1413,Experimental Test of Parity Conservation in Beta Decay,corrected,manual verification
2011_article_median_filtering_algorithms_for_multichannel_detectors,Median filtering algorithms for multichannel detectors,Median filtering algorithms for multichannel detectors,verified,DOI 10.1016/j.asr.2011.01.007
1949_article_penetrating_showers,Penetrating Showers,Penetrating Showers,verified,https://doi.org/10.1103/physrev.76.511
2011_article_role_of_sulphuric_acid_ammonia_and_galactic_cosmic_rays_in_a,"Role of sulphuric acid, ammonia and galactic cosmic rays in atmospheric aerosol nucleation","Role of sulphuric acid, ammonia and galactic cosmic rays in atmospheric aerosol nucleation",verified,DOI 10.1038/nature10343
2011_article_rpc_simulation_in_avalanche_and_streamer_modes_using_transpo,Rpc simulation in avalanche and streamer modes using transport equations for electrons andions,RPC simulation in avalanche and streamer modes using transport equations for electrons and ions,corrected,DOI 10.1016/j.nima.2010.09.133
2011_book_air_showers_high_energy_phenomena,Extensive air showers,Extensive Air Showers: High Energy Phenomena and Astrophysical Aspects,corrected,manual verification
2012_article_analysis_of_the_space_time_microstructure_of_performances_of,Analysis of the space-time microstructure of cosmic ray air showers using the HADES RPC TOF wall,Analysis of the space-time microstructure of cosmic ray air showers using the HADES RPC TOF wall,verified,https://doi.org/10.1088/1748-0221/7/10/p10007
2012_article_coronal_mass_ejections_observations,Coronal Mass Ejections: Observations,Coronal Mass Ejections: Observations,verified,DOI 10.12942/lrsp-2012-3
2012_article_cosmicrayrpp,Cosmicrayrpp,Cosmic Rays,corrected,manual verification
2012_article_extensive_air_showers_and_ultra_high_energy,Extensive Air Showers and Ultra High-Energy Cosmic Rays: A Historical Review,Extensive air showers and ultra high-energy cosmic rays: a historical review,corrected,DOI 10.1140/epjh/e2012-30013-x
2012_article_introduction_to_elementary_particles_2nd_edition,Introduction to elementary particles (2nd edition),Introduction to Elementary Particles,corrected,manual verification
2012_article_investigation_of_crystal_surface_finish_and_geometry_on_sing,Investigation of crystal surface finish and geometry on single LYSO scintillator detector performance for depth of interaction measurement with silicon photomultipliers,Investigation of crystal surface finish and geometry on single LYSO scintillator detector performance for depth-of-interaction measurement with silicon photomultipliers,corrected,DOI 10.1016/j.nima.2012.07.029
2012_article_portable_cosmic_muon_telescope_for_environmental_application,Portable cosmic muon telescope for environmental applications,Portable cosmic muon telescope for environmental applications,verified,DOI 10.1016/j.nima.2012.06.015
2013_book_a_geometric_approach_to_differential_forms,A Geometric Approach to Differential Forms,A Geometric Approach to Differential Forms,verified,manual verification
2012_thesis_analysis_of_the_one_cosmic_ray,Analysis of the one cosmic ray,Analysis of the One-Cosmic-Ray Events Taken During the Commissioning of the HADES RPC Wall at GSI: First Results,corrected,manual verification
2012_thesis_new_advances_and_developments_on_the_rpc_tof_wall_of_the_had,New Advances and Developments on the RPC TOF Wall of the HADES Experiment at GSI,New Advances and Developments on the RPC TOF Wall of the HADES Experiment at GSI,verified,manual verification
2013_article_data_and_information_activities_of_serc_kyushu_university_ja,"Data and information activities of serc, kyushu university, japan","Data and Information Activities of ICSWSE, Kyushu University, Japan",corrected,manual verification
2013_article_physics_of_the_solar_cycle_new_views,"Geomagnetic Effects on Cosmic Ray Propagation Under Different Conditions for Buenos Aires and Marambio, Argentina","Geomagnetic Effects on Cosmic-Ray Propagation Under Different Conditions for Buenos Aires and Marambio, Argentina",corrected,manual verification
2013_article_lectures_on_quantum_mechanics,Lectures on quantum mechanics,Lectures on Quantum Mechanics,corrected,manual verification
2013_article_observable_effects_of_interplanetary_coronal_mass,Observable Effects of Interplanetary Coronal Mass Ejections on Ground Level Neutron Monitor Count Rates,Observable Effects of Interplanetary Coronal Mass Ejections on Ground Level Neutron Monitor Count Rates,verified,DOI 10.1007/s11207-013-0256-1
2013_book_introduction_to_electrodynamics,Introduction to electrodynamics,Introduction to Electrodynamics,corrected,https://doi.org/10.1017/9781009397735
2013_book_springer_series_in_computational,Iso 15930 electronic document file format for prepress digital data exchange (pdf/x),ISO 15930: Electronic Document File Format for Prepress Digital Data Exchange (PDF/X),corrected,manual verification
2013_book_modern_particle_physics,Modern particle physics,Modern Particle Physics,corrected,https://doi.org/10.1017/cbo9781139525367
2013_book_numerical_optimization,Numerical Optimization,Numerical Optimization,verified,manual verification
2013_book_undergraduate_lecture_notes_in_physics,Undergraduate lecture notes in physics,Essential Astrophysics,corrected,DOI 10.1007/978-3-642-35963-7
2013_slides_flavio_loddo_istituto_nazionale_di_fisica_nucleare_sez_di_ba,Flavio loddo,Front-End Electronics,corrected,manual verification
2013_slides_introduction_to_the_micropattern,Introduction to the Micropattern,Introduction to the Micropattern Gaseous Detectors,corrected,manual verification
2014_article_global_muon_detector_network_used_for_space_weather,Global Muon Detector Network Used for Space Weather,Global Muon Detector Network Used for Space Weather Applications,corrected,DOI 10.1007/s11214-014-0048-4
2014_article_layered_water_cherenkov_detector_for_the_study_of_ultra_high,Layered water cherenkov detector for the study of ultra high energy cosmic rays,Layered water Cherenkov detector for the study of ultra high energy cosmic rays,corrected,DOI 10.1016/j.nima.2014.08.029
2014_article_methods_of_analysis_of_geomagnetic_field,Methods of Analysis of Geomagnetic Field Variations and Cosmic Ray Data,Methods of analysis of geomagnetic field variations and cosmic ray data,corrected,https://doi.org/10.1186/s40623-014-0148-0
2014_article_zenith_angle_sensitivity_of_a_cubical_meson_telescope,Zenith angle sensitivity of a cubical meson telescope,Zenith Angle Sensitivity of a Cubical Meson Telescope,corrected,DOI 10.1063/1.1715854
2014_book_quantum_field_theory_for_the_gifted,Quantum field THEory FOR THE gifted,Quantum Field Theory for the Gifted Amateur,corrected,manual verification
2014_book_radiation_detection_and_measurement,Radiation detection and measurement,Radiation Detection and Measurement,corrected,manual verification
2015_article_local_anisotropy_of_muon_flux_the_basis_of_the_method_of_muo,Local anisotropy of muon flux the basis of the method of muon diagnostics of extra terrestrial space,Local anisotropy of muon flux – The basis of the method of muon diagnostics of extra-terrestrial space,corrected,DOI 10.1016/j.asr.2015.05.039
2015_article_programa_de_fi_sica_nuclear,Programa DE física,Programa de Física Nuclear,corrected,manual verification
2015_article_introducci_n_al_lenguaje_python,Ramón bravo,Introducción al lenguaje Python (2.7),corrected,manual verification
2015_article_introducci_n_al_lenguaje_python_2,Ramón bravo,Introducción al lenguaje Python (2.7),corrected,manual verification
2015_book_f_sica_nuclear_y_de_part_culas,Física nuclear y de partículas,Física Nuclear y de Partículas,corrected,manual verification
2016_article_the_pierre_auger_observatory_upgrade,The pierre auger observatory upgrade,The Pierre Auger Observatory Upgrade,corrected,manual verification
2016_article_the_temperature_effect_in_secondary_cosmic_rays_muons_observ,The temperATure effect IN secondary cosmic RAYS (MUONs) observed AT THE ground: analysis OF THE global MUON detector network dATa,The Temperature Effect in Secondary Cosmic Rays (Muons) Observed at the Ground: Analysis of the Global Muon Detector Network Data,corrected,DOI 10.3847/0004-637X/830/2/88
2016_book_gravitation,Gravitation,Gravitation,verified,manual verification
2017_article_analysis_of_ground_level_enhancements_gle_extreme_solar_ener,Analysis of ground level enhancements (gle): extreme solar energetic particle events have hard spectra,Analysis of Ground Level Enhancements (GLE): Extreme solar energetic particle events have hard spectra,corrected,DOI 10.1016/j.asr.2016.08.043
2017_article_griffiths_quantum,Griffiths quantum,Introduction to Quantum Mechanics,corrected,manual verification
2017_article_iso_19005_electronic_document_file_format_for_long_term_pres,Iso 19005 electronic document file FORmat FOR long term pres,"Muon imaging: Principles, technologies and applications",corrected,DOI 10.1016/j.nima.2017.08.004
2017_article_kittel_introducci_n_a_la_f_sica_del_estado_s_li,Kittel introducci n a la f sica del estado s li,Introducción a la Física del Estado Sólido,corrected,manual verification
2017_article_tragaldabas_first_results_on_cosmic_ray_studies_and_their_re,"TRAGALDABAS: First Results on Cosmic Ray Studies and Their Relation With the Solar Activity, the Earth's Magnetic Field and the Atmospheric Properties","TRAGALDABAS: First Results on Cosmic-Ray Studies and Their Relation with Solar Activity, Earth's Magnetic Field, and Atmospheric Properties",corrected,manual verification
2017_book_curso_de_astronomia_abad_correcto,Curso de astronomia abad correcto,Curso de Astronomía,corrected,manual verification
2017_book_graduate_texts_in_physics,Graduate Texts in Physics,Computational Physics: Simulation of Classical and Quantum Systems,corrected,manual verification
2017_slides_in_vivo_and_in_beam_monitoring_of_pet,In-vivo and in-beam monitoring of PET,In Vivo and In-Beam Monitoring with PET,corrected,manual verification
2018_article_universidad_complutense_de_madrid,Fnexp master guiondigital,Fnexp master guiondigital,needs_remote_pdf,title page required from naranjito PDF
2018_article_iso_19005_electronic_document_file_format_for_long_term_pres,Iso 19005 electronic document file FORmat FOR long term pres,A method for determining the angular distribution of atmospheric muons using a cosmic ray telescope,corrected,DOI 10.1016/j.nima.2018.11.010
2018_article_maza_2008_f_sica_del_estado_s_lido,Maza 2008 f sica del estado s lido,Física del Estado Sólido,corrected,manual verification
2018_article_you_may_also_like_diffusible_ligand_and_lateral_inhibition,"The CosmicWatch Desktop Muon Detector: a self-contained, pocket sized particle detector","The CosmicWatch Desktop Muon Detector: a self-contained, pocket sized particle detector",verified,https://doi.org/10.1088/1748-0221/13/03/p03019
2018_article_the_influence_of_several_atmospheric_variables_on_cosmic_ray,The influence of several atmospheric variables on cosmic ray muons observed by kacst detector,The influence of several atmospheric variables on cosmic ray muons observed by KACST detector,corrected,DOI 10.1016/j.asr.2018.08.021
2018_article_the_sevan_worldwide_network_of_particle_detectors_10_years_o,The sevan worldwide network of particle detectors: 10â€¯years of operation,The SEVAN Worldwide network of particle detectors: 10 years of operation,corrected,DOI 10.1016/j.asr.2018.02.030
2018_book_resistive_gaseous_detectors,Resistive gaseous detectors,Resistive Gaseous Detectors,corrected,manual verification
2018_slides_aplicaciones_pptx,LA física NUCLEAR y DE,Aplicaciones de la Física Nuclear y de Partículas,corrected,manual verification
2018_thesis_simulation_and_reconstruction_algorithms_for_a_commercial_mu,Simulation and Reconstruction Algorithms for a Commercial Muon Tomography System,Simulation and Reconstruction Algorithms for a Commercial Muon Tomography System,verified,manual verification
2019_article_1_29_cosmic_rays_29_cosmic_rays,1 29. Cosmic Rays,Cosmic Rays,corrected,manual verification
2019_article_analysis_of_cosmic_rays_atmospheric_effects_and_their_relati,Analysis of cosmic rays' atmospheric effects and their relationships to cutoff rigidity and zenith angle using global muon detector network data,Analysis of Cosmic Rays' Atmospheric Effects and Their Relationships to Cutoff Rigidity and Zenith Angle Using Global Muon Detector Network Data,corrected,DOI 10.1029/2019JA026651
2019_article_atmospheric_muons_measured_with_icecube,Atmospheric muons measured with icecube,Atmospheric Muons Measured with IceCube,corrected,DOI 10.1051/epjconf/201920808007
2019_article_atmospheric_variations_as_observed_by_icecube,Atmospheric Variations as observed by IceCube,Atmospheric Variations as Observed by IceCube,corrected,manual verification
2019_article_recent_results_of_cosmic_ray_measurements_from_icecube_and_i,Recent results of cosmic ray measurements from,Recent Results of Cosmic Ray Measurements from IceCube and IceTop,corrected,manual verification
2019_article_seasonal_variation_of_atmospheric_muons_in_icecube,Seasonal variation of atmospheric muons in,Seasonal Variation of Atmospheric Muons in IceCube,corrected,manual verification
2019_book_classical_dynamics_a_contemporary_approa,Classical dynamics a contemporary approa,Classical Dynamics: A Contemporary Approach,corrected,manual verification
2019_thesis_studies_on_the_composition_and_energy_of_secondary_cosmic_ra,Studies on the Composition and Energy of Secondary Cosmic Rays with the TRAGALDABAS Detector,Studies on the Composition and Energy of Secondary Cosmic Rays with the TRAGALDABAS Detector,verified,manual verification
2020_notes_1_curvas_no_espazo_eucl_deo_3_dimensional,1. curvas no espazo euclídeo 3 dimensional,Curvas no espazo euclídeo tridimensional,corrected,manual verification
2020_notes_1_introducci_n_a_la_inferencia_estad_stica,1. introducción a la inferencia estadística,Introducción a la inferencia estadística,corrected,manual verification
2020_article_atmospheric_temperature_effect_in_secondary_cosmic_rays_obse,Atmospheric temperature effect in secondary cosmic rays observed with a 2 m2 ground based trpc detector,Atmospheric Temperature Effect in Secondary Cosmic Rays Observed with a 2 m² Ground-Based tRPC Detector,corrected,DOI 10.1029/2020EA001131
2020_article_direct_measurement_of_the_muonic_content_of_extensive_air_sh,Direct measurement of the muonic content of extensive air showers between and ev at the pierre auger observatory,Direct Measurement of the Muonic Content of Extensive Air Showers Between 2 × 10^17 and 2 × 10^18 eV at the Pierre Auger Observatory,corrected,DOI 10.1140/epjc/s10052-020-8055-y
2020_article_lectures_on_quantum_theory_chris_isham,Lectures on quantum theory chris isham,Lectures on Quantum Theory,corrected,manual verification
2020_article_the_tristan_detector_2018_2019_latitude_survey_of_cosmic_ray,The TRISTAN Detector - 2018-2019 Latitude Survey of Cosmic Rays,The TRISTAN detector—2018–2019 latitude survey of cosmic rays,corrected,https://doi.org/10.1088/1748-0221/15/09/c09024
2020_article_voxelization_based_poca_point_cloud_filtration,Voxelization based poca point cloud filtration algorithm for image reconstruction for muon tomography,Voxelization based PoCA point cloud filtration algorithm for image reconstruction for Muon Tomography,corrected,https://doi.org/10.1088/1748-0221/15/09/p09012
2020_article_weissbluth_atoms_molecules,Weissbluth atoms molecules,Atoms and Molecules,corrected,manual verification
2020_book_introduction_to_smooth_manifolds_second_edition,Introduction to Smooth Manifolds (Second Edition),Introduction to Smooth Manifolds,corrected,manual verification
2021_article_xxii_international_workshop_on_radiation_imaging_detectors_i,A portable muon telescope for multidisciplinary applications,A Portable Muon Telescope for Multidisciplinary Applications,corrected,manual verification
2021_article_apuntes_de_la_asignatura,Apuntes de la asignatura,Teoría de juegos,corrected,manual verification
2021_article_cosmic_ray_spectrum_and_composition_from_pev_to_eev_from_the,Cosmic ray spectrum and composition from pev to,Cosmic Ray Spectrum and Composition from PeV to EeV from the IceCube Neutrino Observatory,corrected,manual verification
2021_article_development_of_crosshair_light_sharing_pet_detector_with_tof,Development of crosshair light sharing PET detector with TOF and DOI capabilities using fast LGSO scintillator,Development of crosshair light sharing PET detector with TOF and DOI capabilities using fast LGSO scintillator,verified,https://doi.org/10.1088/1361-6560/ac2f8b
2021_article_doi_estimation_through_signal_arrival_time_distribution_a_th,Doi estimation through signal arrival time distribution: a theoretical description including proof of concept measurements,DOI estimation through signal arrival time distribution: a theoretical description including proof of concept measurements,corrected,DOI 10.1088/1361-6560/abf604
2021_article_iso_19005_electronic_document_file_format_for_long_term_pres,Iso 19005 electronic document file FORmat FOR long term pres,Muon event localisation with AI,corrected,DOI 10.1016/j.nima.2021.165237
2021_article_luis_miguel_varela_departamento_de_f_sica_de_la_materia_cond,Mecánica estadística,Mecánica Estadística,corrected,manual verification
2021_article_mu_11a_f_sica_del_estado_s_lido,Mu/11a física del estado sólido,Física del Estado Sólido,corrected,manual verification
2021_article_muon_telescope_based_on_scintillation_counters,Muon Telescope Based on Scintillation Counters,Muon Telescope Based on Scintillation Counters,verified,DOI 10.1134/S0020441221040047
2021_article_on_the_visualisation_of_differential_forms,On the visualisation of differential forms,On the Visualisation of Differential Forms,corrected,manual verification
2021_article_performance_of_the_current_and_extended_global_nm,Performance of the current and extended global NM network for solar particle registration and analysis,Performance of the current and extended global NM network for solar particle registration and analysis,verified,https://doi.org/10.22323/1.395.1315
2021_article_the_trasgo_project_present_status_and_results,The TRASGO Project: Present Status and Results,The TRASGO Project. Present Status and Results,corrected,DOI 10.1134/S1063778821130093
2021_article_jos_antonio_oubi_a_gali_anes,Variedades diferenciables,Variedades Diferenciables,corrected,manual verification
2021_article_world_grid_of_cosmic_ray_vertical_cut_off_rigidity_for_the_l,World grid of cosmic ray vertical cut off rigidity for the last decade,World grid of cosmic ray vertical cut-off rigidity for the last decade,corrected,DOI 10.1016/j.asr.2021.01.011
2021_article_zenith_angle_dependence_of_pressure_effect_in_grapes_3,Zenith angle dependence of pressure effect in GRAPES-3 muon telescope,Zenith-Angle Dependence of the Pressure Effect in the GRAPES-3 Muon Telescope,corrected,manual verification
2021_slides_i_ns_s_20_21_aug_us_t_5_t_h_t_hu_s,"I NS S 20 21 , Aug us T 5 T h (T hu S. )",Physics with Water Cherenkov Detector,corrected,manual verification
2021_thesis_a_scintillating_experiment,A Scintillating Experiment,A Scintillating Experiment,verified,manual verification
2022_article_about_the_necessity_to_build_new_polar_neutron_monitor,About the necessity to build new polar neutron monitor,About the Necessity to Build New Polar Neutron Monitor Stations,corrected,manual verification
2022_article_cor_system_a_tool_to_evaluate_cosmic_ray_trajectories_in_the,Cor system: a tool to evaluate cosmic ray trajectories in the earthâ€™s magnetosphere,COR system: A tool to evaluate cosmic ray trajectories in the Earth’s magnetosphere,corrected,DOI 10.1016/j.asr.2022.06.001
2022_article_cosmic_ray_observations_from_livingston_island,Cosmic ray observations from livingston island,Cosmic ray observations from Livingston Island,corrected,DOI 10.1016/j.asr.2022.02.046
2022_article_density_of_gev_muons_in_air_showers_measured_with_icetop,Density of gev muons in air showers measured with icetop,Density of GeV muons in air showers measured with IceTop,corrected,DOI 10.1103/PhysRevD.106.032010
2022_article_facultade_de_f_sica_grao_en_f_sica,Facultade de física,Facultade de física,needs_remote_pdf,title page required from naranjito PDF
2022_article_fieldable_muon_spectrometer_using_multi_layer_pressurized_ga,Fieldable muon spectrometer using multi layer pressurized gas cherenkov radiators and its applications,Fieldable muon spectrometer using multi-layer pressurized gas Cherenkov radiators and its applications,corrected,DOI 10.1038/s41598-022-06510-2
2022_article_iso_19005_electronic_document_file_format_for_long_term_pres,Iso 19005 electronic document file FORmat FOR long term pres,Iterative-Bayesian unfolding of cosmic-ray isotope fluxes measured by AMS-02,corrected,DOI 10.1016/j.nima.2022.167695
2022_article_revisiting_the_limits_of_atmospheric_temperature_retrieval_f,Revisiting the Limits of Atmospheric Temperature Retrieval From Cosmic-Ray Measurements,Revisiting the Limits of Atmospheric Temperature Retrieval From Cosmic‐Ray Measurements,corrected,DOI 10.1029/2021EA001982
2022_article_the_arti_framework_cosmic_rays_atmospheric_background_simula,The ARTI framework: cosmic rays atmospheric background simulations,The ARTI framework: cosmic rays atmospheric background simulations,verified,DOI 10.1140/epjc/s10052-022-10883-z
2022_article_la_geometr_a_de_la_variable_compleja,Traballo fin de grao,La geometría de la variable compleja,corrected,manual verification
2022_book_gaseous_detectors_handbook,GASEOUS DETECTORS HANDBOOK,Gaseous Detectors Handbook,corrected,manual verification
